year,iso3_o,iso3_d,iso_o,iso_d,flow,gdp_o,gdp_d,pop_o,pop_d,distw,comlang_off,contig,wto_o,wto_d,gatt_o,gatt_d,wto_joint,EU_joint,EAEU_joint
2015,ARM,AZE,ARM,AZE,3243.987,10529182.72,53074370.56,2916.9500000000003,9649.341,380,0,1,1,0,0,0,0,0,0
2016,ARM,AZE,ARM,AZE,2445.5660000000003,10547331.072,37847715.84,2924.8160000000003,9762.274,380,0,1,1,0,0,0,0,0,0
2017,ARM,AZE,ARM,AZE,3940.416,11527458.566,40865558.912,2944.789,9854.033,380,0,1,1,0,0,0,0,0,0
2018,ARM,AZE,ARM,AZE,3569.703,12457941.907,47112941.176,2951.741,9939.771,380,0,1,1,0,0,0,0,0,0
2019,ARM,AZE,ARM,AZE,3037.922,13619291.361,48174235.294,2957.728,10024.283,380,0,1,1,0,0,0,0,0,0
2020,ARM,AZE,ARM,AZE,1570.694,12641209.802,42693000,2963.234,10093.121,381,0,1,1,0,0,0,0,0,0
1997,ARM,BLR,ARM,BLR,1054.243,1639492.48,14128412.672,3137.652,10117,1946,0,0,0,0,0,0,0,0,0
1998,ARM,BLR,ARM,BLR,1689.384,1893726.464,15222014.976,3112.958,10069,1946,0,0,0,0,0,0,0,0,0
1999,ARM,BLR,ARM,BLR,2158.192,1845482.24,12138485.76,3093.82,10035,1946,0,0,0,0,0,0,0,0,0
2000,ARM,BLR,ARM,BLR,1633.5,1911563.648,12736856.064,3076.098,10005,1949,0,0,0,0,0,0,0,0,0
2001,ARM,BLR,ARM,BLR,1692.4,2118467.968,12354820.096,3059.96,9928,1949,0,0,0,0,0,0,0,0,0
2002,ARM,BLR,ARM,BLR,2108.4,2376335.104,14594925.568,3047.002,9865,1949,0,0,0,0,0,0,0,0,0
2003,ARM,BLR,ARM,BLR,2282.8,2807060.992,17825435.648000002,3036.032,9797,1949,0,0,1,0,0,0,0,0,0
2004,ARM,BLR,ARM,BLR,2061.1,3576615.168,23141586.944,3025.652,9730,1949,0,0,1,0,0,0,0,0,0
2005,ARM,BLR,ARM,BLR,2496.711,4900436.992000001,30210091.008,3014.917,9663,1950,0,0,1,0,0,0,0,0,0
2006,ARM,BLR,ARM,BLR,4119.8,6384457.728,36961918.976,3002.911,9604,1950,0,0,1,0,0,0,0,0,0
2007,ARM,BLR,ARM,BLR,3472,9206301.696,45275713.536,2989.882,9560,1950,0,0,1,0,0,0,0,0,0
2008,ARM,BLR,ARM,BLR,4580.4000000000005,11662041.088,60763484.16,2977.4880000000003,9528,1950,0,0,1,0,0,0,0,0,0
2009,ARM,BLR,ARM,BLR,5094.8,8647937.024,49208655.872,2968.154,9507,1950,0,0,1,0,0,0,0,0,0
2010,ARM,BLR,ARM,BLR,5114.2,9260286.976,55220932.608,2963.496,9490,1951,0,0,1,0,0,0,0,0,0
2011,ARM,BLR,ARM,BLR,5768.726000000001,10142343.168,59734593.536,2964.12,9473,1951,0,0,1,0,0,0,0,0,0
2012,ARM,BLR,ARM,BLR,6681.1,9958217.728,63615447.04,2969.081,9464,1951,0,0,1,0,0,0,0,0,0
2013,ARM,BLR,ARM,BLR,8556.082,10432169.984,71709515.77600001,2976.5660000000003,9466,1951,0,0,1,0,0,0,0,0,0
2014,ARM,BLR,ARM,BLR,9023.982,11609512.96,78813052.928,2906.2200000000003,9474.511,1951,0,0,1,0,0,0,0,0,0
2015,ARM,BLR,ARM,BLR,5819.1,10529182.72,56454774.784,2916.9500000000003,9489.616,1951,0,0,1,0,0,0,0,0,1
2016,ARM,BLR,ARM,BLR,13112.17,10547331.072,47433441.28,2924.8160000000003,9507.12,1951,0,0,1,0,0,0,0,0,1
2017,ARM,BLR,ARM,BLR,7125.5,11527458.566,54726595.249,2944.789,9458.989,1951,0,0,1,0,0,0,0,0,1
2018,ARM,BLR,ARM,BLR,11738.39,12457941.907,60031262.269,2951.741,9438.785,1951,0,0,1,0,0,0,0,0,1
2019,ARM,BLR,ARM,BLR,18203.8,13619291.361,64409647.194,2957.728,9419.758,1951,0,0,1,0,0,0,0,0,1
2020,ARM,BLR,ARM,BLR,22782.5,12641209.802,61489588.895,2963.234,9379.952,1951,0,0,1,0,0,0,0,0,1
1995,ARM,EST,ARM,EST,6.393,1468317.312,4362191.36,3223.173,1436.634,2549,0,0,0,0,0,0,0,0,0
1996,ARM,EST,ARM,EST,121.36,1596968.96,4739181.568,3173.425,1415.594,2549,0,0,0,0,0,0,0,0,0
1997,ARM,EST,ARM,EST,65.994,1639492.48,5059146.752,3137.652,1399.535,2549,0,0,0,0,0,0,0,0,0
1998,ARM,EST,ARM,EST,4.831,1893726.464,5608007.1680000005,3112.958,1386.156,2549,0,0,0,0,0,0,0,0,0
1999,ARM,EST,ARM,EST,177.036,1845482.24,5715278.848,3093.82,1380.62,2549,0,0,0,1,0,0,0,0,0
2000,ARM,EST,ARM,EST,159.138,1911563.648,5685561.3440000005,3076.098,1396.985,2549,0,0,0,1,0,0,0,0,0
2001,ARM,EST,ARM,EST,62.623000000000005,2118467.968,6233506.3040000005,3059.96,1388.115,2549,0,0,0,1,0,0,0,0,0
2002,ARM,EST,ARM,EST,183.836,2376335.104,7308609.024,3047.002,1379.35,2549,0,0,0,1,0,0,0,0,0
2003,ARM,EST,ARM,EST,121.601,2807060.992,9822143.488,3036.032,1370.72,2549,0,0,1,1,0,0,1,0,0
2004,ARM,EST,ARM,EST,155.787,3576615.168,12057639.936,3025.652,1362.55,2549,0,0,1,1,0,0,1,0,0
2005,ARM,EST,ARM,EST,92.536,4900436.992000001,14003096.576,3014.917,1354.775,2549,0,0,1,1,0,0,1,0,0
2006,ARM,EST,ARM,EST,1026.3,6384457.728,16958045.184,3002.911,1346.81,2549,0,0,1,1,0,0,1,0,0
2007,ARM,EST,ARM,EST,464.971,9206301.696,22228670.464,2989.882,1340.68,2549,0,0,1,1,0,0,1,0,0
2008,ARM,EST,ARM,EST,1110.888,11662041.088,24185794.56,2977.4880000000003,1337.09,2549,0,0,1,1,0,0,1,0,0
2009,ARM,EST,ARM,EST,230.918,8647937.024,19640621.056,2968.154,1334.515,2549,0,0,1,1,0,0,1,0,0
2010,ARM,EST,ARM,EST,593.451,9260286.976,19479013.376,2963.496,1331.475,2549,0,0,1,1,0,0,1,0,0
2011,ARM,EST,ARM,EST,276.46500000000003,10142343.168,22803433.472,2964.12,1327.439,2549,0,0,1,1,0,0,1,0,0
2012,ARM,EST,ARM,EST,516.689,9958217.728,22660753.408,2969.081,1325.016,2549,0,0,1,1,0,0,1,0,0
2013,ARM,EST,ARM,EST,491.36,10432169.984,24880265.216,2976.5660000000003,1324.612,2549,0,0,1,1,0,0,1,0,0
2014,ARM,EST,ARM,EST,448.116,11609512.96,26213941.248,2906.2200000000003,1314.545,2549,0,0,1,1,0,0,1,0,0
2015,ARM,EST,ARM,EST,718.335,10529182.72,22460471.296,2916.9500000000003,1315.407,2549,0,0,1,1,0,0,1,0,0
2016,ARM,EST,ARM,EST,706.041,10547331.072,23136741.376,2924.8160000000003,1316.481,2549,0,0,1,1,0,0,1,0,0
2017,ARM,EST,ARM,EST,636.964,11527458.566,26924385.103,2944.789,1317.384,2549,0,0,1,1,0,0,1,0,0
